name,n,m,q,r,r_elim,prior,H_class,baseline,candidate_backend,beta,list_budget,stage1_log2_work,standard_residual_log2_work,within_empirical_range,within_empirical_range_requested,within_empirical_range_verified,standard_total_log2_work,exact_prior_residual_log2_work,exact_prior_total_log2_work,full_flow_gain_bits,residual_gain_interval_low,residual_gain_interval_high,label
coded_dual_like_r3,512,512,3329,3,3,ternary,coded_dual_G_transpose,norm_aware,calibrated_toy_model,60,1000000,130.0,126.0,False,False,False,130.08746284125033,126.0,130.08746284125033,0.0,,,HEURISTIC ESTIMATOR / EXTRAPOLATION
synthetic_dense_toy,24,24,97,2,2,ternary,dense_random,norm_aware,measured_backend,20,1000,12.0,14.0,True,True,False,14.321928094887362,14.0,14.321928094887362,0.0,,,HEURISTIC ESTIMATOR / EXTRAPOLATION
