n,m,q,r,r_elim,r_check,prior,H_class,source,source_requested,evidence_label,instances,mean_alpha_by_candidate_list,cluster_bootstrap_alpha_low,cluster_bootstrap_alpha_high,marginal_bits_from_cluster_mean,marginal_bits_lower_from_cluster_ci,marginal_bits_upper_from_cluster_ci,probability_any_false_survivor,probability_any_false_survivor_wilson_low,probability_any_false_survivor_wilson_high,survivor_variance_across_candidate_lists,variance_under_independence,overdispersion_factor,mean_prior_auc_list_cluster,prior_auc_cluster_ci_low,prior_auc_cluster_ci_high,mean_prior_average_precision_list_cluster,prior_average_precision_cluster_ci_low,prior_average_precision_cluster_ci_high,weighted_prior_ranking_label,uniformity_mean_coordinate_tv_cluster_mean,uniformity_mean_coordinate_tv_cluster_ci_low,uniformity_mean_coordinate_tv_cluster_ci_high,uniformity_character_bias_max_cluster_mean,uniformity_character_bias_max_cluster_ci_low,uniformity_character_bias_max_cluster_ci_high,uniformity_character_bias_q95_cluster_mean,uniformity_character_bias_q95_cluster_ci_low,uniformity_character_bias_q95_cluster_ci_high,uniformity_collision_rate_cluster_mean,uniformity_collision_rate_cluster_ci_low,uniformity_collision_rate_cluster_ci_high,all_true_candidates_present,true_candidate_presence_rate,all_present_true_candidates_retained,median_candidate_count,median_generation_time,median_predicate_time,underpowered,all_enumerations_complete
12,12,17,2,2,0,ternary,coded_dual_G_transpose,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,,,,,inf,inf,0.0,0.0,0.11351339317396876,0.0,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,2.0,0.011775297499980297,0.00010418700014724891,False,True
12,12,17,2,2,0,ternary,dense_random,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,,,,,inf,inf,0.0,0.0,0.11351339317396876,0.0,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,2.0,0.011941944000000149,0.00010319700004401966,False,True
12,12,17,2,2,0,"{""h_minus"": 2, ""h_plus"": 2, ""kind"": ""fixed_weight""}",coded_dual_G_transpose,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,,,,,inf,inf,0.0,0.0,0.11351339317396876,0.0,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,2.0,0.011797087499985537,0.00011135149986785109,False,True
12,12,17,2,2,0,"{""h_minus"": 2, ""h_plus"": 2, ""kind"": ""fixed_weight""}",dense_random,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,,,,,inf,inf,0.0,0.0,0.11351339317396876,0.0,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,2.0,0.01186934499992276,0.00011040150002372684,False,True
