n,m,q,r,r_elim,r_check,prior,source,source_requested,evidence_label,H_class,dense_alpha,structured_alpha,alpha_difference_structured_minus_dense,alpha_ratio_structured_over_dense,difference_ci_low_conservative,difference_ci_high_conservative,comparison_design
8,8,17,2,0,2,ternary,NormShellProxySource,norm_shell_proxy,PROJECT_PROXY / B2_PROXY,coded_dual_G_transpose,0.0033444816053511705,0.038461538461538464,0.035117056856187295,11.5,0.0,0.07023411371237459,independent list clusters; conservative interval-endpoint contrast
8,8,17,2,0,2,ternary,PriorSupportedSyntheticSource,prior_supported,SYNTHETIC STATISTICAL EXPERIMENT,coded_dual_G_transpose,0.0016722408026755853,0.06521739130434782,0.06354515050167224,39.0,0.013377926421404682,0.11371237458193979,independent list clusters; conservative interval-endpoint contrast
8,8,17,2,2,0,ternary,NormShellProxySource,norm_shell_proxy,PROJECT_PROXY / B2_PROXY,coded_dual_G_transpose,0.018400260375749142,0.4983277591973244,0.47992749882157526,27.08264714852089,0.060200668896321065,0.8996543287468294,independent list clusters; conservative interval-endpoint contrast
8,8,17,2,2,0,ternary,PriorSupportedSyntheticSource,prior_supported,SYNTHETIC STATISTICAL EXPERIMENT,coded_dual_G_transpose,0.03180624452874234,0.5503355704697986,0.5185293259410563,17.30275229357798,0.05719288007003209,0.9798657718120806,independent list clusters; conservative interval-endpoint contrast
