n,m,q,r,r_elim,r_check,prior,H_class,source,source_requested,evidence_label,instances,valid_alpha_lists,lists_with_false_candidates,false_candidates_total,minimum_valid_alpha_lists,minimum_false_candidates_per_group,alpha_estimable,mean_alpha_by_candidate_list,cluster_bootstrap_alpha_low,cluster_bootstrap_alpha_high,marginal_bits_from_cluster_mean,marginal_bits_lower_from_cluster_ci,marginal_bits_upper_from_cluster_ci,probability_any_false_survivor,probability_any_false_survivor_wilson_low,probability_any_false_survivor_wilson_high,survivor_variance_across_candidate_lists,variance_under_independence,overdispersion_factor,mean_prior_auc_list_cluster,prior_auc_cluster_ci_low,prior_auc_cluster_ci_high,mean_prior_average_precision_list_cluster,prior_average_precision_cluster_ci_low,prior_average_precision_cluster_ci_high,weighted_prior_ranking_label,uniformity_mean_coordinate_tv_cluster_mean,uniformity_mean_coordinate_tv_cluster_ci_low,uniformity_mean_coordinate_tv_cluster_ci_high,uniformity_character_bias_max_cluster_mean,uniformity_character_bias_max_cluster_ci_low,uniformity_character_bias_max_cluster_ci_high,uniformity_character_bias_q95_cluster_mean,uniformity_character_bias_q95_cluster_ci_low,uniformity_character_bias_q95_cluster_ci_high,uniformity_collision_rate_cluster_mean,uniformity_collision_rate_cluster_ci_low,uniformity_collision_rate_cluster_ci_high,all_true_candidates_present,true_candidate_presence_rate,all_present_true_candidates_retained,median_candidate_count,median_false_candidate_count,median_generation_time,median_predicate_time,underpowered,all_enumerations_complete
12,12,17,2,2,0,ternary,coded_dual_G_transpose,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,0,0,0,30,300,False,,,,,,,,,,,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,1.0,0.0,0.013283896999837452,8.424250017924351e-05,True,True
12,12,17,2,2,0,ternary,dense_random,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,0,0,0,30,300,False,,,,,,,,,,,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,1.0,0.0,0.013567509999575122,8.964249991549877e-05,True,True
12,12,17,2,2,0,"{""h_minus"": 2, ""h_plus"": 2, ""kind"": ""fixed_weight""}",coded_dual_G_transpose,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,0,0,0,30,300,False,,,,,,,,,,,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,1.0,0.0,0.013177030999941053,9.002749993669568e-05,True,True
12,12,17,2,2,0,"{""h_minus"": 2, ""h_plus"": 2, ""kind"": ""fixed_weight""}",dense_random,MNGeneralCandidateSource,mn_general,TOY REAL-LATTICE CANDIDATE DISTRIBUTION,30,0,0,0,30,300,False,,,,,,,,,,,,,,,,,,,candidate-level diagnostic; uncertainty clustered by complete list,,,,,,,,,,,,,True,1.0,True,1.0,0.0,0.013318596500084823,8.947249989432748e-05,True,True
