n,m,q,r,r_elim,r_check,prior,H_class,source,source_requested,evidence_label,instances,mean_alpha_by_candidate_list,cluster_bootstrap_alpha_low,cluster_bootstrap_alpha_high,marginal_bits_from_cluster_mean,all_true_candidates_present,all_present_true_candidates_retained,median_candidate_count,median_generation_time,median_predicate_time,underpowered,all_enumerations_complete
8,8,17,2,0,2,ternary,coded_dual_G_transpose,NormShellProxySource,norm_shell_proxy,PROJECT_PROXY / B2_PROXY,2,0.038461538461538464,0.0033444816053511705,0.07357859531772576,4.700439718141092,True,True,300.0,0.0,0.007499999999708962,True,True
8,8,17,2,0,2,ternary,coded_dual_G_transpose,PriorSupportedSyntheticSource,prior_supported,SYNTHETIC STATISTICAL EXPERIMENT,2,0.06521739130434782,0.016722408026755852,0.11371237458193979,3.9385994553358565,True,True,300.0,0.0,0.015500000001338776,True,True
8,8,17,2,0,2,ternary,dense_random,NormShellProxySource,norm_shell_proxy,PROJECT_PROXY / B2_PROXY,2,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,8.224001674198105,True,True,300.0,0.007500000000618456,0.0,True,True
8,8,17,2,0,2,ternary,dense_random,PriorSupportedSyntheticSource,prior_supported,SYNTHETIC STATISTICAL EXPERIMENT,2,0.0016722408026755853,0.0,0.0033444816053511705,9.224001674198105,True,True,300.0,0.015499999999519787,0.0,True,True
8,8,17,2,2,0,ternary,coded_dual_G_transpose,NormShellProxySource,norm_shell_proxy,PROJECT_PROXY / B2_PROXY,2,0.4983277591973244,0.09364548494983277,0.903010033444816,1.0048331537359434,True,True,300.0,0.0,0.0,True,True
8,8,17,2,2,0,ternary,coded_dual_G_transpose,PriorSupportedSyntheticSource,prior_supported,SYNTHETIC STATISTICAL EXPERIMENT,2,0.5503355704697986,0.10067114093959731,1.0,0.861616515844078,True,True,300.0,0.0,0.007999999999810825,True,True
8,8,17,2,2,0,ternary,dense_random,NormShellProxySource,norm_shell_proxy,PROJECT_PROXY / B2_PROXY,2,0.018400260375749142,0.003355704697986577,0.033444816053511704,5.764130008267205,True,True,300.0,0.0,0.007999999999810825,True,True
8,8,17,2,2,0,ternary,dense_random,PriorSupportedSyntheticSource,prior_supported,SYNTHETIC STATISTICAL EXPERIMENT,2,0.03180624452874234,0.020134228187919462,0.043478260869565216,4.974546151742248,True,True,300.0,0.007499999999708962,0.007999999999810825,True,True
